content;score;sentiment_rating;wordCount;tweet_with_stopwords;wordCount_after_stopwords;tweet_stemmed
aplikasi nya bagus bisa curhat;5;Positive;5;aplikasi bagus curhat;3;aplikasi bagu curhat
lebih lengkap sangat membantu;5;Positive;4;lengkap membantu;2;lengkap membantu
aplikasi yang sangat luar biasa. membantu meringankan masalah. banyak tips tips yang bisa dilakukan untuk mengurangi depresi. terima kasih.;5;Positive;23;aplikasi  membantu meringankan  tips tips mengurangi depresi  terima kasih ;9;aplikasi membantu meringankan tip tip mengurangi depresi terima kasih
baru nyoba sleep journey,, seneng su, di saat nulis di kertas suka mager... bisa jadi sarana menambahkan kegiatan produktif bagi seorang ibu;5;Positive;26;nyoba sleep journey seneng su nulis kertas suka mager  sarana kegiatan produktif;12;nyoba sleep journey seneng su nuli kerta suka mager sarana kegiatan produktif
tks sangat membantu buat meditasi dirumah;5;Positive;6;tks membantu meditasi dirumah;4;tk membantu meditasi dirumah
top;5;Positive;1;top;1;top
hallo... saya sering sekali mendengar meditasi dan lelap dari riliv. saran dari saya, kualitas narator semakin ditingkatkan ya, intonasi baca, penggunaan tanda baca, suara lembut dan tidak tergesa-gesa dalam membaca teks. terimakasih...;5;Positive;40;hallo  mendengar meditasi lelap riliv  saran kualitas narator ditingkatkan intonasi baca penggunaan tanda baca suara lembut tergesagesa membaca teks  terimakasih ;20;hallo mendengar meditasi lelap riliv saran kualita narat ditingkatkan intonasi baca penggunaan tanda baca suara lembut tergesagesa membaca tek terimakasih
bagus;5;Positive;1;bagus;1;bagu
ok;5;Positive;1;ok;1;ok
sangat membantu untuk kesehatan mental;5;Positive;5;membantu kesehatan mental;3;membantu kesehatan mental
aplikasi riliv ini buat saya sangat membantu hidup saya;5;Positive;9;aplikasi riliv membantu hidup;4;aplikasi riliv membantu hidup
aku suka banget sama apk ini. sangat membantu. semoga terus seperti ini ya;5;Positive;15;suka apk  membantu  semoga;4;suka apk membantu semoga
over all baguss, banyak yang gratis dan sangat membantu, terima kasih karena udah membuat aplikasi iniiii;5;Positive;18;over all baguss gratis membantu terima kasih udah aplikasi iniiii;10;over all baguss grati membantu terima kasih udah aplikasi iniiii
di sini bagu, bisa jurnal harian, dan jurnalnya itu ada pertanyaan pertanyaan gitu, jadi saya gak perlu pusing pusing mikirin mau jurnal apa ya, pokok ya riliv the best aplikasi di hp saya. thank;5;Positive;39;bagu jurnal harian jurnalnya gitu gak pusing pusing mikirin jurnal pokok riliv the best aplikasi hp  thank;17;bagu jurnal harian jurnalnya gitu gak puse puse mikirin jurnal pokok riliv the best aplikasi hp thank
kak ini kenapa ya koq aplikasi ke tutup sendiri setiap saya mau liat riwayat konseling??;4;Positive;17;kak koq aplikasi tutup liat riwayat konseling  ;7;kak koq aplikasi tutup liat riwayat konsel
riliv membantu sekali untuk dealing with mental issue secara cepat dan mudah ;5;Positive;12;riliv membantu dealing with mental issue cepat mudah;8;riliv membantu deal with mental issu cepat mudah
keren;5;Positive;1;keren;1;keren
bagus saya baru download dan baru menggunakan;5;Positive;7;bagus;1;bagu
bagus, banyak psikolog profesional;5;Positive;5;bagus psikolog profesional;3;bagu psikolog profesion
bagus ka makasih;5;Positive;3;bagus ka makasih;3;bagu ka makasih
puasss!;5;Positive;2;puasss ;1;puasss
aplikasinya bagus banget dan sangat menarik;5;Positive;6;aplikasinya bagus menarik;3;aplikasinya bagu menarik
sangat membantu;5;Positive;2;membantu;1;membantu
bagus sih aplikasi nya bisa mencari berbagai bantuan, tapi kalau tidak bisa membayar,maka tidak bisa mencari bantuan ya, karena ken uang juga sulit nih ,semoga di mudahkan sedikit,maaf sebelumnya.;5;Positive;37;bagus aplikasi mencari bantuan membayar mencari bantuan ken uang sulit nih semoga mudahkan maaf ;14;bagu aplikasi mencari bantuan membayar mencari bantuan ken uang sulit nih semoga mudahkan maaf
aplikasi yang benar-benar mendukung bagi orang-orang yang merasa sedang tidak baik² saja;5;Positive;12;aplikasi benarbenar mendukung orangorang baik;5;aplikasi benarbenar mendukung orangorang baik
bnr bnr lega  stlah ktmu riliv, dan dpet konselor yang sangat sangat baik dan bnr bnr mau diajak diskusi tanpa mnyudutkan ;5;Positive;22;bnr bnr lega stlah ktmu riliv dpet konselor bnr bnr diajak diskusi mnyudutkan;13;bnr bnr lega stlah ktmu riliv dpet konselor bnr bnr diajak diskusi mnyudutkan
bagussss bngttt;5;Positive;2;bagussss bngttt;2;bagussss bngttt
aplikasi yg bagus, baru pertama kali pakai sudah membuat penasaran ingin mencoba semua fitur yg ada dalam aplikasi..;5;Positive;20;aplikasi bagus kali pakai penasaran mencoba fitur aplikasi ;8;aplikasi bagu kali pakai penasaran mencoba fitur aplikasi
bagus;5;Positive;1;bagus;1;bagu
sangat mbantu sy yg lg cemas... menenagkn fikiran dg suara intrusi meditasinya;5;Positive;13;mbantu sy lg cemas  menenagkn fikiran dg suara intrusi meditasinya;10;mbantu sy lg cema menenagkn fikiran dg suara intrusi meditasinya
makasih developer semoga kalian selalu mendapatkan ketenangan dan kebahagiaan dalam hidup.;5;Positive;12;makasih developer semoga ketenangan kebahagiaan hidup ;6;makasih develop semoga ketenangan kebahagiaan hidup
apk nya baguss;5;Positive;3;apk baguss;2;apk baguss
cukup bagus dan lengkap untuk sekarang;4;Positive;6;bagus lengkap;2;bagu lengkap
sangat bagussssss gak tau mau bilang apa lagi baguss bgttt app nya.... sangat membantu;5;Positive;15;bagussssss gak tau bilang baguss bgttt app  membantu;8;bagussssss gak tau bilang baguss bgttt app membantu
membantu sekali;5;Positive;2;membantu;1;membantu
bagusss, membantu untuk jurnal dan meluapkan emosi, dr apk ini jg kita bisa belajar mengapresiasi diri sendiri;5;Positive;19;bagusss membantu jurnal meluapkan emosi dr apk jg belajar mengapresiasi;10;bagusss membantu jurnal meluapkan emosi dr apk jg belajar mengapresiasi
there's a bug. i cant regist or sign in;1;Negative;11;there s a bug  i cant regist or sign in;10;there s a bug i cant regist or sign in
perlu dicantumkan nama dokter nya dan usia agar pasien lebih yakin dengan capabilitas dan integritas dokter untuk berkonsul;4;Positive;18;dicantumkan nama dokter usia pasien capabilitas integritas dokter berkonsul;9;dicantumkan nama dokter usia pasien capabilita integrita dokter berkonsul
semoga rivil update menjadi yang terbaik sepanjang masa;5;Positive;8;semoga rivil update terbaik;4;semoga rivil updat terbaik
aplikasinya sgt bagus. untuk yang mau konsisten journaling;5;Positive;9;aplikasinya sgt bagus  konsisten journaling;5;aplikasinya sgt bagu konsisten journal
cakep;5;Positive;1;cakep;1;cakep
the best;5;Positive;2;the best;2;the best
sangat membantu bagi orang² yg tertutup ke orang lain;5;Positive;9;membantu orang tertutup;3;membantu orang tertutup
aplikasi ini sangat membantu dan responnya cukup bagus. namun beberapa kali ngebug saat di buka. mohon di perbaiki lgi;5;Positive;21;aplikasi membantu responnya bagus  kali ngebug buka  mohon perbaiki lgi;10;aplikasi membantu responnya bagu kali ngebug buka mohon perbaiki lgi
bagus;5;Positive;1;bagus;1;bagu
lumayan membantu;5;Positive;2;lumayan membantu;2;lumayan membantu
terimakasih, riliv. dengan adanya sesi meditasi yang menenangkan dan juga pembicara dari sesi meditasi yang membuat tenang dan nyaman membuat ku yang panik secara tiba-tiba bisa menjadi lebih tenang dengan mengikuti sesi meditasi yang disediakan :));5;Positive;40;terimakasih riliv  sesi meditasi menenangkan pembicara sesi meditasi tenang nyaman ku panik tenang mengikuti sesi meditasi disediakan   ;17;terimakasih riliv sesi meditasi menenangkan pembicara sesi meditasi tenang nyaman ku panik tenang mengikuti sesi meditasi disediakan
ok;5;Positive;1;ok;1;ok
bingung gimana jelasin nya, download dulu deh coba liat liat dulu dalemnya gimana. asli worth it sih versi gratis nya banyak banget & ga pelit. tampilan / arahan ga ribet ga membingungkan sangat simpel easy to use tapi tetap entertain karna semanfaat itu. pokonya coba download dulu deh ;5;Positive;52;bingung gimana jelasin deh coba liat liat dalemnya gimana  asli worth it versi gratis  ga pelit  tampilan  arahan ga ribet ga membingungkan simpel easy to use entertain karna semanfaat  pokonya coba deh;32;bingung gimana jelasin deh coba liat liat dalemnya gimana asli worth it versi grati ga pelit tampilan arahan ga ribet ga membingungkan simpel easi to use entertain karna semanfaat pokonya coba deh
terimakasih riliv ;5;Positive;2;terimakasih riliv;2;terimakasih riliv
good aplication;5;Positive;2;good aplication;2;good aplic
apk nya berjalan baik;5;Positive;4;apk berjalan;2;apk berjalan
sangat membantu terimakasih;5;Positive;3;membantu terimakasih;2;membantu terimakasih
sangat membantu kita melupakan permasalahan yg dialami dalam kehidupan sehari-hari;5;Positive;10;membantu melupakan permasalahan dialami kehidupan seharihari;6;membantu melupakan permasalahan dialami kehidupan seharihari
sangat seru, banyak journal journal keren yang bisa kita isi. bahasa di aplikasi juga sangat ringan sehingga kita merasa seperti sedang mengobrol dengan teman.;5;Positive;27;seru journal journal keren isi  bahasa aplikasi ringan mengobrol teman ;10;seru journal journal keren isi bahasa aplikasi ringan mengobrol teman
sejauh ini membantu. semoga bisa selalu menemani dan membuat kesehatan mental membaik;5;Positive;13;membantu  semoga menemani kesehatan mental membaik;6;membantu semoga menemani kesehatan mental membaik
aplikasi yang dapat membantu dalam menjaga kesehatan mental dan memperbaiki kesehatan mental;5;Positive;12;aplikasi membantu menjaga kesehatan mental memperbaiki kesehatan mental;8;aplikasi membantu menjaga kesehatan mental memperbaiki kesehatan mental
aku bersyukur dengan hadirnya aplikasi riliv.semoga aku bisa lebih bersemangat dan penuh syukur dengan hidupku.kesehatan mental sangat penting untuk kita jaga.;4;Positive;22;bersyukur hadirnya aplikasi rilivsemoga bersemangat penuh syukur hidupkukesehatan mental jaga ;10;bersyukur hadirnya aplikasi rilivsemoga bersemangat penuh syukur hidupkukesehatan mental jaga
aplikasi terobosan yang bagus untuk masyarakat lebih terbuka tentang kesehatan mental;5;Positive;11;aplikasi terobosan bagus masyarakat terbuka kesehatan mental;7;aplikasi terobosan bagu masyarakat terbuka kesehatan mental
makasih sudah membantu;5;Positive;3;makasih membantu;2;makasih membantu
my.;5;Positive;2;my ;1;my
aplikais yang sangat membantu, sangat mudah menggunakannya;5;Positive;8;aplikais membantu mudah menggunakannya;4;aplikai membantu mudah menggunakannya
saya kira mental saya butuh penanganan. saat saya mencoba untuk mencari penanganan di aplikasi ini saya sadar bahwa penanganan itu butuh duit. so mungkin bertahan beberapa tahun lagi untuk mendapatkan penanganan mental saya. terimakasih udah bikin apk inj;5;Positive;41;mental butuh penanganan  mencoba mencari penanganan aplikasi sadar penanganan butuh duit  so bertahan penanganan mental  terimakasih udah bikin apk inj;20;mental butuh penanganan mencoba mencari penanganan aplikasi sadar penanganan butuh duit so bertahan penanganan mental terimakasih udah bikin apk inj
aplikasinya bagus;5;Positive;2;aplikasinya bagus;2;aplikasinya bagu
bagusss bangett dan sangatt bermanfaatt terimakasihh pembuat aplikasi;5;Positive;8;bagusss bangett sangatt bermanfaatt terimakasihh pembuat aplikasi;7;bagusss bangett sangatt bermanfaatt terimakasihh pembuat aplikasi
sangat membantu;5;Positive;2;membantu;1;membantu
bisa lebih tenang;5;Positive;3;tenang;1;tenang
aplikasi ini sangat bagus,saya ingin berterimakasiih yg banyak riliv sudah membantu menemani masa masa sulit saya;5;Positive;18;aplikasi bagus berterimakasiih riliv membantu menemani sulit;7;aplikasi bagu berterimakasiih riliv membantu menemani sulit
aplikasi nya membantu aku dalam menjalankan kehidupan dan memperbaiki diri terima kasih riliv;5;Positive;13;aplikasi membantu menjalankan kehidupan memperbaiki terima kasih riliv;8;aplikasi membantu menjalankan kehidupan memperbaiki terima kasih riliv
seru bgt gratis n gaada iklann!!!;5;Positive;9;seru gratis n gaada iklann   ;5;seru grati n gaada iklann
saya suka sesi meditasinya,tapi harga untuk konseling dengan psikolognya mahal;4;Positive;12;suka sesi meditasinya harga konseling psikolognya mahal;7;suka sesi meditasinya harga konsel psikolognya mahal
tidak auto refresh saat ada chat baru! sering harus keluar dulu dan masuk lagi baru masuk chatnya.;4;Positive;19;auto refresh chat  masuk masuk chatnya ;6;auto refresh chat masuk masuk chatnya
aplikasinya sangat membantu saya,di dalam aplikasi ini banyak ilmu yang bermanfaat,tampilan dari aplikasi yang menarik,banyaknya pilihan yang bisa saya pilih,dan kenyamanan saya saat menggunakan aplikasi ini.;5;Positive;35;aplikasinya membantu aplikasi ilmu bermanfaat tampilan aplikasi menarik banyaknya pilihan pilih kenyamanan aplikasi ;13;aplikasinya membantu aplikasi ilmu bermanfaat tampilan aplikasi menarik banyaknya pilihan pilih kenyamanan aplikasi
terima kasih sudah membantu;5;Positive;4;terima kasih membantu;3;terima kasih membantu
sangat bagus;5;Positive;2;bagus;1;bagu
bagus;5;Positive;1;bagus;1;bagu
apl nya bagus sangat membantu saya yg kesulitan dan kurang apresiasi terimakasih dan jangan berubah yaa ;5;Positive;16;apl bagus membantu kesulitan apresiasi terimakasih berubah yaa;8;apl bagu membantu kesulitan apresiasi terimakasih berubah yaa
bagus banget sih;5;Positive;3;bagus;1;bagu
sering loading;5;Positive;2;loading;1;load
berasa punya temen yang mengarahkan ttg apa yg lagi kita rasakan tp bikin plong;5;Positive;14;berasa temen mengarahkan ttg rasakan tp bikin plong;8;berasa temen mengarahkan ttg rasakan tp bikin plong
keren;5;Positive;1;keren;1;keren
bagus;5;Positive;1;bagus;1;bagu
keren;5;Positive;1;keren;1;keren
untuk chat konseling instannya cukup membantu dan terjangkau;5;Positive;8;chat konseling instannya membantu terjangkau;5;chat konsel instannya membantu terjangkau
bagus banget banget bangett, semua orang yang pengen membentuk kebiasaan baru terutama dalam mendisiplinkan diri dan menjaga kesehatan mental butuh iniii agar lebih terarah. makasih ya tim yang buat app ini dgn segala fitur nya yg keren dan fungsional;5;Positive;41;bagus bangett pengen membentuk kebiasaan mendisiplinkan menjaga kesehatan mental butuh iniii terarah  makasih tim app dgn fitur keren fungsional;19;bagu bangett pengen membentuk kebiasaan mendisiplinkan menjaga kesehatan mental butuh iniii terarah makasih tim app dgn fitur keren fungsion
aku baru coba semoga jadi my secret book;5;Positive;8;coba semoga my secret book;5;coba semoga my secret book
sangat membantu dalam hidupku sangat bagus;5;Positive;6;membantu hidupku bagus;3;membantu hidupku bagu
fiturnya banyak, aplikasi mudah di pahami, tampilan menarik, banyak firtur yang sangat membantu dan banyak fitur yg bisa di eksplore setiap hari nya. membantu saya mengatasi kecemasan pada diri saya;5;Positive;34;fiturnya aplikasi mudah pahami tampilan menarik firtur membantu fitur eksplore  membantu mengatasi kecemasan;13;fiturnya aplikasi mudah pahami tampilan menarik firtur membantu fitur eksplor membantu mengatasi kecemasan
ok;5;Positive;1;ok;1;ok
lumayan bermanfaat aplikasi kesehatan mentalnya. aku kasih bintang empat ya.;4;Positive;12;lumayan bermanfaat aplikasi kesehatan mentalnya  kasih bintang ;7;lumayan bermanfaat aplikasi kesehatan mentalnya kasih bintang
menarik;5;Positive;1;menarik;1;menarik
masih belum bisa memberikan bintang 5, karena masih belum menggunakan semua fitur dan layanan;4;Positive;15;bintang  fitur layanan;3;bintang fitur layanan
terimakasih riliv ;5;Positive;2;terimakasih riliv;2;terimakasih riliv
sangat membantu untuk mencurahkan isi hati;5;Positive;6;membantu mencurahkan isi hati;4;membantu mencurahkan isi hati
so far so good. tapi berharap konten untuk yang engga berlangganan juga bisa di akses, gapapa menggunakan iklan juga;4;Positive;21;so far so good  berharap konten engga berlangganan akses gapapa iklan;11;so far so good berharap konten engga berlangganan aks gapapa iklan
fitur meditasi riliv sangat membantu saya untuk lebih fokus. riliv sangat membantu aktifitas saya :);5;Positive;17;fitur meditasi riliv membantu fokus  riliv membantu aktifitas  ;8;fitur meditasi riliv membantu foku riliv membantu aktifita
sangat membantu sekali;5;Positive;3;membantu;1;membantu
nice good;5;Positive;2;nice good;2;nice good
jelek banget aplikasi nya lama banget bales nya buang buang duit bukan lega malahan bikin setres aja duit aku juga gak kembali yesel banget donlod apk ini;1;Negative;27;jelek aplikasi bales buang buang duit lega bikin setres duit gak yesel donlod apk;14;jelek aplikasi bale buang buang duit lega bikin setr duit gak yesel donlod apk
sangat membantu apalagi fitur jurnal dan mood tracker. saya jadi tau seberapa kacaunya mood saya lewat grafik mood, apalagi saya yang didiagnosis bpd sama psikiater;5;Positive;27;membantu fitur jurnal mood tracker  tau kacaunya mood grafik mood didiagnosis bpd psikiater;13;membantu fitur jurnal mood tracker tau kacaunya mood grafik mood didiagnosi bpd psikiat
bagus;5;Positive;1;bagus;1;bagu
sangat membantu;5;Positive;2;membantu;1;membantu
mantap;5;Positive;1;mantap;1;mantap
ya kasih free konsul dulu lah, kalo memang nyaman orang pasti beli paket nya;1;Negative;15;kasih free konsul kalo nyaman beli paket;7;kasih free konsul kalo nyaman beli paket
alhamdulillah sekarang aplikasi riliv sudah bisa dipakai dengan baik.;5;Positive;10;alhamdulillah aplikasi riliv dipakai ;4;alhamdulillah aplikasi riliv dipakai
so far so good;5;Positive;4;so far so good;4;so far so good
udah bayar sesi konseling sesi cuma 40 menit tp blm direspon2 lama bgt. keburu habis waktunya. kesel bgt malah makin stres sama ini aplikasi.;1;Negative;27;udah bayar sesi konseling sesi  menit tp blm direspon  keburu habis  kesel stres aplikasi ;14;udah bayar sesi konsel sesi menit tp blm direspon keburu habi kesel stre aplikasi
cocok untuk anak depresi parah;5;Positive;5;cocok anak depresi parah;4;cocok anak depresi parah
bagus;5;Positive;1;bagus;1;bagu
mantap;5;Positive;1;mantap;1;mantap
keren menu lengkap;5;Positive;3;keren menu lengkap;3;keren menu lengkap
menjadi lebih siap menjalani hari yang indah;5;Positive;7;menjalani indah;2;menjalani indah
good;5;Positive;1;good;1;good
thank you;5;Positive;2;thank you;2;thank you
good;5;Positive;1;good;1;good
the best;5;Positive;2;the best;2;the best
aplikasi yang sangat bagus untuk journaling emosi dan permasalahan psikososial;5;Positive;10;aplikasi bagus journaling emosi permasalahan psikososial;6;aplikasi bagu journal emosi permasalahan psikososi
mulai rutin buat nulis jurnal dsni;5;Positive;6;rutin nulis jurnal dsni;4;rutin nuli jurnal dsni
bagus;5;Positive;1;bagus;1;bagu
jujur aja saya merasa lega sekali setiap saya buat jurnal di aplikasi ini, apalagi ketika saya mau meditasi. terimakasih tim riliv!;5;Positive;24;jujur lega jurnal aplikasi meditasi  terimakasih tim riliv ;8;jujur lega jurnal aplikasi meditasi terimakasih tim riliv
cukup membantu dalam mengatasi depresi yg saya derita;5;Positive;8;membantu mengatasi depresi derita;4;membantu mengatasi depresi derita
suka bngt sama backsound ny klo mau tidur pasti dengerin;5;Positive;10;suka bngt backsound ny klo tidur dengerin;7;suka bngt backsound ny klo tidur dengerin
coba untuk saat ini saya kasih bintang 3 dlu ya.;3;Neutral;11;coba kasih bintang  dlu ;4;coba kasih bintang dlu
keren bangettt, mindfullness;5;Positive;4;keren bangettt mindfullness;3;keren bangettt mindful
semoga ini bisa membantu ku untuk lebih baik lagi;5;Positive;9;semoga membantu ku;3;semoga membantu ku
terimakasih, kalian penyelamat :);5;Positive;6;terimakasih penyelamat  ;2;terimakasih penyelamat
sangat bermanfaat;5;Positive;2;bermanfaat;1;bermanfaat
sangat membantu;5;Positive;2;membantu;1;membantu
bintang 1 dulu karena baru pertama pakai semoga membantu saya;1;Negative;10;bintang  pakai semoga membantu;4;bintang pakai semoga membantu
aplikasi ini bagus banget. sering lihat di youtube orang2 dari negara lain menerapkan pembiasaan menulis diary. dan sekarang saya mengerti manfaatnya untuk diri saya. makasih banget buat yang bikin apk ini. pertahankan dan semoga tambah maju.;5;Positive;41;aplikasi bagus  lihat youtube orang negara menerapkan pembiasaan menulis diary  mengerti manfaatnya  makasih bikin apk  pertahankan semoga maju ;18;aplikasi bagu lihat youtub orang negara menerapkan pembiasaan menuli diari mengerti manfaatnya makasih bikin apk pertahankan semoga maju
aplikasi bagus. membantu mengobati mental;5;Positive;6;aplikasi bagus  membantu mengobati mental;5;aplikasi bagu membantu mengobati mental
riliv dari dulu memang yang terbaik;5;Positive;6;riliv terbaik;2;riliv terbaik
baguss sukaa;4;Positive;2;baguss sukaa;2;baguss sukaa
mantap;4;Positive;1;mantap;1;mantap
aplikasi nya bagus;5;Positive;3;aplikasi bagus;2;aplikasi bagu
ini luar biasa rasa kecemasan ku jadi hilang krn apk ini. trimakasih riliv;5;Positive;14;kecemasan ku hilang krn apk  trimakasih riliv;7;kecemasan ku hilang krn apk trimakasih riliv
membantu menenangkan;5;Positive;2;membantu menenangkan;2;membantu menenangkan
bagusss;5;Positive;1;bagusss;1;bagusss
"aplikasinya sangat membantu, mempermudah pengguna, dan jelas. saya pengguna lama yang banyak melihat perubahan/update an pada aplikasi ini yang menjadi lebih baik dari sebelumny. aplikasi ini selalu mendengar feedback dari pengguna. jadi banyak perubahan yang sangat membantu pengguna aplikasi riliv. ada banyak pemilihan/filtur yang dulu tidak ada sekarang pelan"" ada. terima kasih sudah buat aplikasi sebagus ini, semoga selalu dipertahankan sisi baik dari aplikasi ini.";5;Positive;75;aplikasinya membantu mempermudah pengguna  pengguna perubahanupdate an aplikasi sebelumny  aplikasi mendengar feedback pengguna  perubahan membantu pengguna aplikasi riliv  pemilihanfiltur pelan   terima kasih aplikasi sebagus semoga dipertahankan sisi aplikasi ;28;aplikasinya membantu mempermudah pengguna pengguna perubahanupd an aplikasi sebelumni aplikasi mendengar feedback pengguna perubahan membantu pengguna aplikasi riliv pemilihanfiltur pelan terima kasih aplikasi sebagu semoga dipertahankan sisi aplikasi
aku sngt²at butuh teman curhat mau curhat ke keluarga percuma g bakal pada percaya aku punya masalah besar;5;Positive;18;sngtat butuh teman curhat curhat keluarga g percaya;8;sngtat butuh teman curhat curhat keluarga g percaya
sangat membantu;5;Positive;2;membantu;1;membantu
membantu memelihara kesehatan mental;5;Positive;4;membantu memelihara kesehatan mental;4;membantu memelihara kesehatan mental
makasih banget buat yang ciptain aplikasi ini. aku suka banget. aku juga bisa dengerin yang meditasi tidur aku lebih nyenyak.;5;Positive;23;makasih ciptain aplikasi  suka  dengerin meditasi tidur nyenyak ;8;makasih ciptain aplikasi suka dengerin meditasi tidur nyenyak
terimakasih riliv ;5;Positive;2;terimakasih riliv;2;terimakasih riliv
saya suka;5;Positive;2;suka;1;suka
bagus;5;Positive;1;bagus;1;bagu
bagus;5;Positive;1;bagus;1;bagu
jika aku memberikan bintang 5 berarti apk ini bagus,untuk kalian yang ingin meditasi,mengetahui kondisi psikologis kalian dan lain sebagainya. fiturnya bagus dilengkapi juga dengan musik meditasi dan cerita;5;Positive;33;bintang  apk bagus meditasi kondisi psikologis  fiturnya bagus dilengkapi musik meditasi cerita;12;bintang apk bagu meditasi kondisi psikolog fiturnya bagu dilengkapi musik meditasi cerita
baru saja menggunakan apk ini kuharap saya tidak kecewa karna sdh mendownloadnya;4;Positive;12;apk kuharap kecewa karna sdh mendownloadnya;6;apk kuharap kecewa karna sdh mendownloadnya
baru kali ini aku mau ngetik.. pada awalnya ragu. tapi ternyata saya semakin diarahkan untuk tidak takut untuk mencurahkan apa yang ada didalam diri;5;Positive;26;kali ngetik  ragu  diarahkan takut mencurahkan didalam;7;kali ngetik ragu diarahkan takut mencurahkan didalam
bagus si tpi ya cuman kan kita mau konseling tp harus mke voucher atau bayar ya ktnga si gratis ya atau aku nya yang gk tau ya tolong dong kasih saran soal nya baru pertma kli ;4;Positive;36;bagus si tpi cuman konseling tp mke voucher bayar ktnga si gratis gk tau tolong kasih saran pertma kli;19;bagu si tpi cuman konsel tp mke voucher bayar ktnga si grati gk tau tolong kasih saran pertma kli
recommended buat yang gampang cemas n overthinking. materinya menenangkan banget;5;Positive;11;recommended gampang cemas n overthinking  materinya menenangkan;7;recommend gampang cema n overthink materinya menenangkan
sangat luar biasa membantu bermanfaat banyak;5;Positive;6;membantu bermanfaat;2;membantu bermanfaat
terimakasih sudah membantu;5;Positive;3;terimakasih membantu;2;terimakasih membantu
nice ;5;Positive;1;nice;1;nice
sangat membantu;5;Positive;2;membantu;1;membantu
bagus banget;5;Positive;2;bagus;1;bagu
bagus;5;Positive;1;bagus;1;bagu
thanks riliv, my first online counseling with this app, very helpful;5;Positive;13;thanks riliv my first online counseling with this app very helpful;11;thank riliv my first onlin counsel with thi app veri help
bagus bnget untuk memperbaiki mental kalian;5;Positive;6;bagus bnget memperbaiki mental;4;bagu bnget memperbaiki mental
aplikasi nya kerennn;5;Positive;3;aplikasi kerennn;2;aplikasi kerennn
dapat membantu;5;Positive;2;membantu;1;membantu
keren;5;Positive;1;keren;1;keren
pingin berlangganan sayang bgt cuma bisa pakai kartu credit ;5;Positive;9;pingin berlangganan sayang pakai kartu credit;6;pingin berlangganan sayang pakai kartu credit
aplikasinya bagus;5;Positive;2;aplikasinya bagus;2;aplikasinya bagu
aplikasi nya lumayan membantu , cuma ada beberapa kekurangan nya tapi ya gak terlalu berpengaruh sih, mungkin sedikit saran agar gak terlalu bosen sama aplikasi nya bisa di tambahin permainan yg mendukung mental mungkin,agh!!...udah lah ,pokoknya sukses trus ya;4;Positive;47;aplikasi lumayan membantu kekurangan gak berpengaruh saran gak bosen aplikasi tambahin permainan mendukung mental agh    udah pokoknya sukses trus;19;aplikasi lumayan membantu kekurangan gak berpengaruh saran gak bosen aplikasi tambahin permainan mendukung mental agh udah pokoknya suks tru
menarik;4;Positive;1;menarik;1;menarik
hari pertama tenang;5;Positive;3;tenang;1;tenang
sangat recommended;5;Positive;2;recommended;1;recommend
